id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
413PBmNYidZg5oMCSrHWuD,Lost,Natalie Prass,0.627,0.461,4,-8.515,1,0.0278,0.327,0.00302,0.0899,0.224,118.918,190507,4
7LCdLQ7NAMmzA547cOtNrB,Ramos,Ploy,0.784,0.824,6,-7.44,0,0.0619,0.0000212,0.902,0.109,0.373,127.996,394000,4
3PZ6cWCfFYgC9a4oSnwAXg,Faceshopping,Sophie,0.636,0.441,1,-7.273,1,0.247,0.0528,0.00152,0.0684,0.304,114.045,236938,4
6fhH6tRpDX77lDmqBy9LF7,Noid,Yves Tumor,0.397,0.833,6,-5.871,0,0.0472,0.00000128,0.824,0.0992,0.669,192.067,209094,4
5Z5nbOXhsSbySVC7WUc6y9,Four out of Five,Arctic Monkeys,0.601,0.863,0,-4.31,1,0.0685,0.0626,0,0.0717,0.676,130.189,312347,4
4vBlxgG7iM8WwjLMHKpNkm,When I'm with him,Empress Of,0.779,0.846,1,-5.68,1,0.0345,0.301,0.00000905,0.0624,0.757,116.01,193947,4
7gbpozqwdFoqvv19BTk2hu,Sanctify,Years & Years,0.667,0.624,1,-5.527,1,0.0688,0.0152,0.0000205,0.296,0.19,101.96,189815,4
0C2vuwLuunPNCJpyAG3kzh,Mr. Tillman,Father John Misty,0.473,0.609,5,-6.87,1,0.027,0.223,0,0.221,0.523,179.524,183533,4
5eKlV4rpVpNh4MRYlth0sj,Sports ,Viagra Boys,0.425,0.77,2,-4.765,1,0.0463,0.00138,0.268,0.641,0.902,129.452,237547,4
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga,Bradley Cooper",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
5r8mGKhCDIVWb3AG4hm0l0,PIENSO EN TU MIRACap3.Celos,ROSALIA,0.647,0.676,8,-6.025,1,0.0862,0.0909,0.0227,0.0947,0.41,164.51,193767,3
6dqs8fnEKzvqYta2abiJKN,In My view,Young Fathers,0.402,0.758,1,-7.557,1,0.366,0.174,0.764,0.0592,0.442,130.579,195446,5
5EXwBncJz4TLO3BeWAWLZJ,Double Denim hop,Buzard Buzard Buzard,0.521,0.906,9,-5.511,1,0.0507,0.00378,0.0193,0.172,0.534,115.065,211574,4
6uUyZC6Bhfj6Q29stciUz0,Like Sugar,Chaka Khan,0.809,0.792,7,-8.481,1,0.054,0.0361,0.0504,0.341,0.941,107.273,239621,4
3CRuaG93yRRpSkPjTwsjF9,Plaything,Roisin Murphy,0.819,0.549,1,-7.75,1,0.0442,0.00222,0.0142,0.082,0.319,125.015,363370,4
6Xk5AaN4n4SnW71473GI7A,Fast slow disco,St. Vincent,0.606,0.828,10,-7.51,0,0.0577,0.0386,0.000148,0.313,0.388,113.975,197005,4
3LYSQacvVpDkPkxzuWEBUc,Deep end,Lykke Li,0.538,0.586,11,-6.937,0,0.0482,0.288,0.00000173,0.116,0.381,138.762,185728,4
4fRFGGrfPAwIczB47434AL,I see you shining,Nines,0.533,0.807,1,-6.243,0,0.3,0.189,0.00000165,0.127,0.524,137.039,165747,5
2Yl4OmDby9iitgNWZPwxkd,Be careful,Cardi B,0.82,0.568,6,-8.23,0,0.411,0.0256,0,0.0952,0.535,152.279,210787,4
1otG6j1WHNvl9WgXLWkHTo,After The Storm,"Kali Uchis Feat. Tyler the Creator,Bootsy Collins",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,207455,4
3bBmpVl9rQKJsFFGLFilIS,Charcoal baby,Blood Orange,0.622,0.46,7,-8.389,0,0.0372,0.14,0.000369,0.119,0.514,183.241,242341,4
5fAubb5bGZCoG76A1ufjnb,Late to the fight,"Laura Marling,Lump,Mike Lindsay",0.339,0.273,11,-10.154,0,0.0336,0.257,0.0000603,0.112,0.0556,130.999,335733,3
5f14ylFBAuwqVHXvafqtmd,O79ME,B Young,0.629,0.601,10,-7.508,0,0.309,0.404,0,0.0582,0.612,199.921,211853,4
6bJao385FumXdxIK8ITi8b,The day the music dies,Iceage,0.317,0.919,8,-4.097,1,0.0677,0.00629,0.0000145,0.248,0.34,106.608,228238,4
